nbin,pileup
1,238796
2,837538.4
3,2306021
4,3050398
5,4344769
6,5802097
7,6800444
8,1.259653e+07
9,3.491532e+07
10,7.841487e+07
11,1.766527e+08
12,3.597969e+08
13,6.023799e+08
14,8.760409e+08
15,1.173947e+09
16,1.488464e+09
17,1.758659e+09
18,1.943127e+09
19,2.048325e+09
20,2.100782e+09
21,2.132093e+09
22,2.148508e+09
23,2.128452e+09
24,2.06211e+09
25,1.962301e+09
26,1.841226e+09
27,1.703387e+09
28,1.553579e+09
29,1.398198e+09
30,1.241678e+09
31,1.086126e+09
32,9.334185e+08
33,7.865579e+08
34,6.492026e+08
35,5.245607e+08
36,4.146599e+08
37,3.202313e+08
38,2.409947e+08
39,1.760869e+08
40,1.243683e+08
41,8.453803e+07
42,5.509299e+07
43,3.432237e+07
44,2.040124e+07
45,1.155813e+07
46,6239468
47,3210646
48,1576437
49,740127.2
50,333664.1
51,145767.1
52,63000.58
53,28177.07
54,14119.75
55,8617.159
56,6467.416
57,5564.852
58,5098.417
59,4771.145
60,4480.548
61,4194.459
62,3905.092
63,3612.752
64,3320.24
65,3030.947
66,2748.193
67,2474.964
68,2213.814
69,1966.814
70,1735.546
71,1521.109
72,1324.149
73,1144.898
74,983.2202
75,838.6676
76,710.5336
77,597.9098
78,499.7392
79,414.8663
80,342.082
81,280.1624
82,227.9014
83,184.1373
84,147.7726
85,117.7887
86,93.25467
87,73.33219
88,57.27639
89,44.43378
90,34.23791
91,26.20338
92,19.9188
93,15.03919
94,11.27823
95,8.400634
96,6.214952
97,4.566859
98,3.333123
99,2.416231
100,1.739717
1,29042.9
2,85416.9
3,177713
4,226180.5
5,286567.1
6,351595.4
7,377725.2
8,439338.7
9,717593.8
10,1054994
11,1770756
12,2823777
13,3785956
14,4625456
15,5349208
16,6127189
17,6698716
18,7028539
19,7164718
20,7166031
21,7189695
22,7297178
23,7292576
24,7132283
25,6942947
26,6731004
27,6455819
28,6145520
29,5828950
30,5502977
31,5150205
32,4760584
33,4341404
34,3907741
35,3475618
36,3057082
37,2654125
38,2261717
39,1877494
40,1507282
41,1163820
42,861150.6
43,609450
44,412345.8
45,266959.7
46,165743.6
47,99000.91
48,57132.07
49,32071.1
50,17842.76
51,10437.01
52,7195.562
53,6088.969
54,5736.303
55,5554.479
56,5382.729
57,5188.329
58,4968.18
59,4725.207
60,4463.572
61,4187.739
62,3902.224
63,3611.447
64,3319.619
65,3030.645
66,2748.044
67,2474.891
68,2213.778
69,1966.797
70,1735.538
71,1521.105
72,1324.147
73,1144.897
74,983.2198
75,838.6674
76,710.5335
77,597.9097
78,499.7391
79,414.8663
80,342.082
81,280.1624
82,227.9014
83,184.1373
84,147.7726
85,117.7887
86,93.25467
87,73.33219
88,57.27639
89,44.43378
90,34.23791
91,26.20338
92,19.9188
93,15.03919
94,11.27823
95,8.400634
96,6.214952
97,4.566859
98,3.333123
99,2.416231
100,1.739717
